Ticker,PE_Ratio,DebtToEquity,ROA,6M_Return,Target,CreditScore
AAPL,27.81107,154.486,0.24545999,-0.05392377791582845,0,2.0
MSFT,34.197327,32.661,0.14203,0.23734990633444736,1,98.0
GOOGL,22.368595,11.481,0.16792,0.08434361358657394,1,96.0
AMZN,37.128452,47.808,0.07699,0.0075453003496264315,1,95.0
TSLA,102.78703,16.823,0.02911,-0.07613160747975214,0,3.0
META,29.749605,25.406,0.18465,0.0712508107137043,1,94.0
NVDA,43.2233,12.267,0.53244996,0.27931304959364706,1,97.0
JNJ,16.775473,64.686,0.0761,0.13569049249356085,1,100.0
V,27.319904,65.017,0.17049,-0.023016060132072292,0,5.0
PG,21.26415,69.861,0.10909,-0.03982619251694105,0,2.0
UNH,10.119398,75.577,0.06464,-0.401181605587933,0,2.0
HD,26.282051,778.781,0.15122,0.04991029770751778,1,98.0
MA,36.02381,240.919,0.23677999,0.040994884455541454,1,95.0
XOM,13.600382,14.442,0.05277,-0.011550436370015845,0,3.0
PFE,8.638225,69.703,0.0525,0.01343783386566,1,96.0
KO,23.520203,166.367,0.08941,0.011429127545188263,1,99.0
PEP,17.558516,276.868,0.08514,0.05992132562983683,1,100.0
DIS,22.601942,37.152,0.04524,0.049810316500644436,1,100.0
ADBE,17.567642,57.486,0.17851,-0.21001548750928903,0,5.0
NFLX,50.54752,67.866,0.15049,0.1520995947213506,1,91.0
CSCO,17.280767,59.625,0.06542,0.05271466053248153,1,99.0
INTC,26.221132,47.997,-0.00853,-0.011080865280744003,0,9.0
VZ,9.495771,167.439,0.05204,0.10388753324662264,1,97.0
T,12.964241,123.191,0.04167,0.12962566986166357,1,96.0
MRK,9.098936,72.161,0.13007,0.017904740735736734,1,92.0
WMT,37.619484,75.78,0.07151,-0.008708648958356123,0,9.0
CVX,13.905798,20.01,0.04756,-0.011702981839499438,0,3.0
NKE,24.244581,83.41,0.06196,0.03190172157744445,1,99.0
ORCL,33.48045,519.586,0.07255,0.32818610832590767,1,100.0
QCOM,12.809894,54.35,0.14174,-0.09567459425484734,0,1.0
IBM,22.84543,245.465,0.048130002,-0.07062383625192059,0,9.0
COST,50.002754,30.813,0.087910004,-0.07137481676885372,0,3.0
GS,17.424927,588.392,0.0090499995,0.09466212021501387,1,97.0
MS,18.222574,438.541,0.01161,0.0425505470696554,1,97.0
AMGN,14.276245,756.651,0.07507,0.011648568711374667,1,97.0
MDT,15.258121,61.393,0.044060003,0.042702686226844304,1,100.0
DHR,25.311455,35.45,0.04006,0.03774091974464382,1,100.0
BMY,6.9238973,291.549,0.08344,-0.09327915592736574,0,6.0
HON,19.74296,226.06,0.07146,0.04735713547871971,1,100.0
TXN,33.34949,85.612,0.10406,0.014630837987327136,1,99.0
LLY,31.316418,217.891,0.16553,-0.17807917618021354,0,5.0
AVGO,48.100487,166.032,0.08014,0.3045017436260097,1,95.0
UNP,18.480183,208.857,0.09105,-0.08315707450878175,0,4.0
CAT,19.002708,218.336,0.08555,0.20250994384401488,1,100.0
